Prix,year,origin,firstCirculationDate,firstHand,energy,gearbox,externalColor,doors,critAir,owners,mileage_value,co2_value,powerDIN_value,ratedHorsePower_value
21490.0,2019,France,2019-06-27,Non,Essence,Manuelle,blanc opaque (verni sans reflet),5.0,1,2.0,50760,132,109,6
19860.0,2021,France,2021-12-29,Oui,Diesel,Manuelle,noir,5.0,2,2.0,62362,136,116,6
40420.0,2022,France,2022-09-22,Oui,Hybride essence électrique,Automatique,rouge metal,5.0,1,2.0,38325,31,180,10
35930.0,2023,Importé,2023-11-18,Non,Essence,Automatique,bleu,5.0,1,2.0,15450,151,130,7
25060.0,2017,France,2017-07-04,Oui,Diesel,Automatique,noir,5.0,2,2.0,157776,125,150,8
13550.0,2020,France,2020-06-22,Oui,Essence,Manuelle,blanc,5.0,1,2.0,45287,108,83,4
56140.0,2023,France,2023-09-10,Oui,Diesel,Automatique,Gris,4.0,2,2.0,16517,127,163,9
53880.0,2016,France,2016-12-20,Non,Essence,Automatique,bleu,5.0,1,3.0,97570,212,340,23
52670.0,2021,France,2021-04-26,Non,Electrique,Automatique,Gris,5.0,0,2.0,44118,0,215,12
18980.0,2021,France,2021-05-06,Oui,Essence,Manuelle,gris foncé,5.0,1,2.0,94339,149,120,6
31620.0,2022,France,2023-01-15,Non,Hybride essence électrique,Automatique,rouge foncé,5.0,1,1.0,25425,111,94,5
6770.0,2012,France,2012-10-17,Non,Essence,Manuelle,rouge metal,5.0,1,1.0,155940,139,75,5
32440.0,2022,Importé,2022-12-29,Non,Hybride essence électrique,Automatique,rouge,5.0,1,1.0,14213,112,145,5
14740.0,2015,France,2016-01-29,Non,Diesel,Manuelle,bleu clair verni,5.0,2,3.0,190256,172,163,10
45120.0,2024,France,2024-08-07,Non,Essence,Automatique,gris,5.0,1,3.0,12,138,150,8
35040.0,2023,France,2023-07-16,Oui,Electrique,Automatique,rouge,5.0,0,3.0,2337,0,78,4
25340.0,2023,Importé,2023-11-03,Non,Essence,Manuelle,noir,5.0,1,3.0,24074,146,120,6
21780.0,2022,France,2022-12-06,Oui,Essence,Manuelle,gris foncé,5.0,1,3.0,46361,122,101,5
40320.0,2022,France,2022-09-24,Oui,Hybride essence électrique,Automatique,gris anthracite metal,5.0,1,3.0,5950,43,131,7
16950.0,2019,France,2019-09-29,Non,Essence,Manuelle,vert,5.0,1,3.0,88920,103,110,5
32240.0,2021,France,2021-11-18,Oui,Diesel,Manuelle,gris anthracite metal,5.0,2,3.0,9927,132,150,8
18110.0,2019,France,2019-10-25,Non,Essence,Manuelle,NOIR PROFOND,5.0,1,2.0,72849,111,110,6
385980.0,2021,France,2021-07-20,Oui,Essence,Automatique,gris,2.0,1,2.0,20653,292,720,69
56740.0,2009,France,2009-06-11,Non,Essence,Automatique,noir metal,2.0,2,2.0,45375,294,416,32
33580.0,2020,France,2020-04-22,Non,Diesel,Automatique,gris foncé,5.0,2,1.0,104858,129,150,8
19950.0,2020,France,2020-02-16,Non,Essence,Automatique,GRIS ALU,5.0,1,2.0,72116,114,110,6
39770.0,2023,France,2023-04-24,Non,Diesel,Automatique,gris metal,5.0,2,1.0,15960,154,150,8
28380.0,2020,France,2020-09-06,Oui,Essence,Manuelle,gris foncé,5.0,1,1.0,15884,118,131,7
27930.0,2020,Importé,2020-07-24,Oui,Diesel,Automatique,rouge,4.0,2,1.0,56750,102,120,6
203390.0,2020,Importé,2020-10-24,Non,Essence,Automatique,noir metal,2.0,1,1.0,22660,102,450,34
34600.0,2021,France,2021-02-19,Non,Essence,Automatique,Gris,5.0,1,1.0,45808,142,192,10
40190.0,2021,France,2021-11-25,Non,Essence,Automatique,noir,5.0,1,2.0,59360,151,163,8
25950.0,2020,Importé,2020-03-09,Non,Essence,Automatique,gris,5.0,1,2.0,60148,127,150,8
18170.0,2019,Importé,2019-01-08,Non,Diesel,Manuelle,gris,5.0,1,2.0,75221,113,100,5
23980.0,2022,France,2022-10-04,Non,Essence,Manuelle,blanc,5.0,1,1.0,16465,118,101,5
43560.0,2024,France,2024-12-31,Oui,Essence,Automatique,GRIS PLATINIUM,4.0,1,1.0,6,146,131,7
19220.0,2022,France,2022-05-30,Oui,Essence,Manuelle,Gris,5.0,1,1.0,12650,123,95,5
23920.0,2023,France,2023-10-02,Non,Essence,Manuelle,bleu,5.0,1,1.0,11,131,110,6
383880.0,2022,Importé,2022-07-20,Non,Essence,Automatique,Craie,2.0,1,1.0,21480,275,650,61
44040.0,2023,France,2023-01-11,Non,Diesel,Automatique,Gris,5.0,2,1.0,6522,140,131,7
25690.0,2020,France,2020-08-06,Non,Diesel,Automatique,noir,5.0,2,1.0,77492,109,116,6
54900.0,2021,France,2021-02-08,Oui,Hybride essence électrique,Automatique,blanc,5.0,1,1.0,4989,31,200,9
29020.0,2018,France,2018-10-14,Non,Essence,Manuelle,BLANC,5.0,1,2.0,31218,117,131,7
58840.0,2020,France,2021-01-24,Non,Hybride essence électrique,Automatique,GRIS FONCE,5.0,1,2.0,52865,160,258,16
34390.0,2023,France,2023-07-02,Non,Essence,Automatique,blanc,5.0,1,2.0,11,129,130,7
9670.0,2010,France,2010-10-04,Non,Diesel,Manuelle,gris metal,5.0,3,2.0,141570,217,136,9
28470.0,2018,France,2019-01-20,Non,Essence,Automatique,noir,5.0,1,2.0,53460,126,136,7
62580.0,2020,France,2020-02-13,Non,Hybride essence électrique,Automatique,noir,5.0,1,2.0,5662,45,367,13
28480.0,2023,France,2023-09-30,Oui,Diesel,Manuelle,gris foncé,5.0,2,2.0,20064,117,110,6
35820.0,2023,France,2023-08-17,Non,Essence,Automatique,blanc,5.0,1,2.0,11,145,130,7
